kode,nama,total_in,date_in,no_invoice,harga_satuan
02SSG59050516015,PROPAM PP105,4,10/18/2023,INV/20231018/MPL/2116309915,180000
PADOVAN-MULVIT,PADOVAN MULTIVITAMINICO 30 ML,10,10/18/2023,INV/20231018/MPL/2116309864,90000
PADOVAN-MTVGR30,PADOVAN MUTAVIGOR 30 ML,10,10/18/2023,INV/20231018/MPL/2116309865,90000
PADOVAN-RESP,PADOVAN RESPIRVIGOR 30 ML,10,10/18/2023,INV/20231018/MPL/2116309866,40000
PADOVAN-VITAE,PADOVAN VITA E 30 ML,10,10/18/2023,INV/20231018/MPL/2116309867,90000
8001254000169,PADOVAN Wood Chips Green Apple,2,10/18/2023,INV/20231018/MPL/2116309868,40000
8001254001715,PADOVAN Wood Chips Lemon,2,10/18/2023,INV/20231018/MPL/2116309869,40000
PR02-CO2-20,Prodac CO2 20 Tablet,10,10/18/2023,INV/20231018/MPL/2116309870,185000
8018189300035,Prodac Humuplus 500g,2,10/18/2023,INV/20231018/MPL/2116309871,70000
8018189400087,Prodac Test NH3,10,10/18/2023,INV/20231018/MPL/2116309872,230000
02SSG59050803011,PROPAM AIR101,21,10/18/2023,INV/20231018/MPL/2116309873,52000
02SSG59050803012,PROPAM AIR202,7,10/18/2023,INV/20231018/MPL/2116309874,71000
02SSG59050803013,PROPAM AIR404,7,10/18/2023,INV/20231018/MPL/2116309875,240000
02SSG5905051601168,PROPAM JGP1000L,14,10/18/2023,INV/20231018/MPL/2116309876,70000
02SSG5905051601169,Propam JGP1500L,18,10/18/2023,INV/20231018/MPL/2116309877,80000
02SSG5905051601170,Propam JGP2500L,10,10/18/2023,INV/20231018/MPL/2116309878,130000
02SSG5905051601171,PROPAM JGP3000L,10,10/18/2023,INV/20231018/MPL/2116309879,180000
02SSG5905051601172,PROPAM JGP3500L,6,10/18/2023,INV/20231018/MPL/2116309880,230000
02SSG5905051601173,PROPAM JGP4500L,5,10/18/2023,INV/20231018/MPL/2116309881,350000
02SSG5905051601175,Propam JP1000,8,10/18/2023,INV/20231018/MPL/2116309882,70000
02SSG5905051601176,Propam JP1200,6,10/18/2023,INV/20231018/MPL/2116309883,90000
02SSG5905051601177,Propam JP1600,9,10/18/2023,INV/20231018/MPL/2116309884,140000
PR01-JP600,Propam JP600,15,10/18/2023,INV/20231018/MPL/2116309885,55000
02SSG5905051601159,Propam JQP1000,43,10/18/2023,INV/20231018/MPL/2116309886,70000
02SSG5905051601165,Propam JQP1000F,5,10/18/2023,INV/20231018/MPL/2116309887,90000
02SSG5905051601160,PROPAM JQP1500,11,10/18/2023,INV/20231018/MPL/2116309888,90000
02SSG5905051601166,Propam JQP1500F,10,10/18/2023,INV/20231018/MPL/2116309889,150000
02SSG5905051601161,PROPAM JQP2500,26,10/18/2023,INV/20231018/MPL/2116309890,110000
02ssg5905051601167,Propam JQP2500F,6,10/18/2023,INV/20231018/MPL/2116309891,170000
02SSG5905051601162,Propam JQP3000,12,10/18/2023,INV/20231018/MPL/2116309892,160000
02SSG5905051601163,PROPAM JQP3500,10,10/18/2023,INV/20231018/MPL/2116309893,230000
PRO01-JQP500,PROPAM JQP500,14,10/18/2023,INV/20231018/MPL/2116309894,50000
02SSG5905051601164,Propam JQP500F,6,10/18/2023,INV/20231018/MPL/2116309895,70000
02SSG590505160140,PROPAM JTP10000,10,10/18/2023,INV/20231018/MPL/2116309896,930000
02SSG590505160141,PROPAM JTP12000,9,10/18/2023,INV/20231018/MPL/2116309897,970000
02SSG590505160142,PROPAM JTP16000,10,10/18/2023,INV/20231018/MPL/2116309898,1050000
02SSG590505160134,PROPAM JTP3800,4,10/18/2023,INV/20231018/MPL/2116309899,550000
02SSG590505160143,PROPAM JTP3800UV,10,10/18/2023,INV/20231018/MPL/2116309900,830000
02SSG590505160135,PROPAM JTP4800,6,10/18/2023,INV/20231018/MPL/2116309901,570000
02SSG590505160144,PROPAM JTP4800UV,2,10/18/2023,INV/20231018/MPL/2116309902,850000
02SSG590505160136,PROPAM JTP5800,17,10/18/2023,INV/20231018/MPL/2116309903,590000
02SSG590505160145,PROPAM JTP5800UV,2,10/18/2023,INV/20231018/MPL/2116309904,870000
02SSG590505160137,PROPAM JTP7000,10,10/18/2023,INV/20231018/MPL/2116309905,750000
PR01-JTP7000UV,PROPAM JTP7000UV,10,10/18/2023,INV/20231018/MPL/2116309906,1090000
02SSG590505160138,PROPAM JTP8000,10,10/18/2023,INV/20231018/MPL/2116309907,770000
PR01-JTP8000UV,PROPAM JTP8000UV,10,10/18/2023,INV/20231018/MPL/2116309908,1110000
02SSG590505160139,PROPAM JTP9000,10,10/18/2023,INV/20231018/MPL/2116309909,790000
02SSG590505160148,PROPAM JTP9000UV,5,10/18/2023,INV/20231018/MPL/2116309910,1140000
02SSG59050516011,PROPAM PP101,9,10/18/2023,INV/20231018/MPL/2116309911,59000
02SSG59050516012,PROPAM PP102,2,10/18/2023,INV/20231018/MPL/2116309912,72000
02SSG59050516013,PROPAM PP103,4,10/18/2023,INV/20231018/MPL/2116309913,98000
02SSG59050516014,PROPAM PP104,10,10/18/2023,INV/20231018/MPL/2116309914,125000
